PULocationID,weather,season,time,pickup_area,trip_distance
39,sunny,fall,night,not manhattan,9.934444444444445
39,sunny,spring,day,not manhattan,6.711463414634147
39,sunny,spring,night,not manhattan,7.265384615384615
39,sunny,summer,day,not manhattan,6.330983606557377
39,sunny,summer,night,not manhattan,7.544761904761905
39,sunny,winter,day,not manhattan,7.0670769230769235
39,sunny,winter,night,not manhattan,7.205882352941177
40,rainy,fall,day,not manhattan,4.962882352941177
40,rainy,fall,night,not manhattan,4.7144
40,rainy,spring,day,not manhattan,3.8284864864864865
40,rainy,spring,night,not manhattan,3.2554054054054054
40,rainy,summer,day,not manhattan,3.9833636363636367
40,rainy,summer,night,not manhattan,4.408333333333334
40,rainy,winter,day,not manhattan,3.6916666666666664
40,rainy,winter,night,not manhattan,4.139642857142857
40,sunny,fall,day,not manhattan,4.128565989847716
40,sunny,fall,night,not manhattan,4.299207317073171
40,sunny,spring,day,not manhattan,4.168848614072495
40,sunny,spring,night,not manhattan,4.091724137931035
40,sunny,summer,day,not manhattan,4.3498089171974526
40,sunny,summer,night,not manhattan,4.121009174311927
40,sunny,winter,day,not manhattan,4.1754404945904176
40,sunny,winter,night,not manhattan,4.256311475409836
41,rainy,fall,day,manhattan,2.5593583227445995
41,rainy,fall,night,manhattan,2.688183556405354
41,rainy,spring,day,manhattan,2.5277591036414564
41,rainy,spring,night,manhattan,2.7151690821256036
41,rainy,summer,day,manhattan,2.6574040788109228
41,rainy,summer,night,manhattan,2.847
41,rainy,winter,day,manhattan,2.3447838394235716
41,rainy,winter,night,manhattan,2.6433962264150948
41,sunny,fall,day,manhattan,2.6344991180585122
41,sunny,fall,night,manhattan,2.8851924331376386
41,sunny,spring,day,manhattan,2.581326166602391
41,sunny,spring,night,manhattan,2.781262055662717
41,sunny,summer,day,manhattan,2.6859682814302195
41,sunny,summer,night,manhattan,2.8982886304296227
41,sunny,winter,day,manhattan,2.410806771745476
41,sunny,winter,night,manhattan,2.606402193784278
42,rainy,fall,day,manhattan,2.724042303172738
42,rainy,fall,night,manhattan,2.923136094674556
42,rainy,spring,day,manhattan,2.4170601173020527
42,rainy,spring,night,manhattan,2.463030303030303
42,rainy,summer,day,manhattan,2.534662857142857
42,rainy,summer,night,manhattan,2.9706060606060603
42,rainy,winter,day,manhattan,2.374154506437768
42,rainy,winter,night,manhattan,2.6828662420382163
42,sunny,fall,day,manhattan,2.6880630830741894
42,sunny,fall,night,manhattan,2.75216380182002
42,sunny,spring,day,manhattan,2.527438573952144
42,sunny,spring,night,manhattan,2.7499123447772096
42,sunny,summer,day,manhattan,2.6593577981651375
42,sunny,summer,night,manhattan,2.725669014084507
42,sunny,winter,day,manhattan,2.3389523613116108
