PULocationID,weather,season,time,pickup_area,duration
39,sunny,summer,day,not manhattan,1333.344262295082
39,sunny,summer,night,not manhattan,1337.5714285714287
39,sunny,winter,day,not manhattan,1271.9076923076923
39,sunny,winter,night,not manhattan,1132.0
40,rainy,fall,day,not manhattan,1322.8294117647058
40,rainy,fall,night,not manhattan,1064.16
40,rainy,spring,day,not manhattan,1078.1891891891892
40,rainy,spring,night,not manhattan,780.2162162162163
40,rainy,summer,day,not manhattan,1148.7272727272727
40,rainy,summer,night,not manhattan,1052.0
40,rainy,winter,day,not manhattan,1077.7246376811595
40,rainy,winter,night,not manhattan,860.7857142857143
40,sunny,fall,day,not manhattan,1212.1763959390862
40,sunny,fall,night,not manhattan,943.810975609756
40,sunny,spring,day,not manhattan,1144.3795309168443
40,sunny,spring,night,not manhattan,909.4088669950739
40,sunny,summer,day,not manhattan,1162.9987261146496
40,sunny,summer,night,not manhattan,898.1422018348624
40,sunny,winter,day,not manhattan,1119.8114374034003
40,sunny,winter,night,not manhattan,836.7868852459017
41,rainy,fall,day,manhattan,851.3856416772554
41,rainy,fall,night,manhattan,676.0688336520077
41,rainy,spring,day,manhattan,799.949364361129
41,rainy,spring,night,manhattan,675.3405797101449
41,rainy,summer,day,manhattan,821.6408572416177
41,rainy,summer,night,manhattan,717.1785714285714
41,rainy,winter,day,manhattan,767.8934637159033
41,rainy,winter,night,manhattan,682.0314465408806
41,sunny,fall,day,manhattan,855.1076576850556
41,sunny,fall,night,manhattan,711.7886497064579
41,sunny,spring,day,manhattan,823.1505977632087
41,sunny,spring,night,manhattan,675.1970239735464
41,sunny,summer,day,manhattan,809.1343713956171
41,sunny,summer,night,manhattan,711.6681699501543
41,sunny,winter,day,manhattan,764.9883245767659
41,sunny,winter,night,manhattan,649.7689213893967
42,rainy,fall,day,manhattan,864.7955346650999
42,rainy,fall,night,manhattan,676.0059171597633
42,rainy,spring,day,manhattan,782.7712609970674
42,rainy,spring,night,manhattan,629.9507575757576
42,rainy,summer,day,manhattan,784.4742857142858
42,rainy,summer,night,manhattan,720.959595959596
42,rainy,winter,day,manhattan,761.9587982832618
42,rainy,winter,night,manhattan,655.3630573248407
42,sunny,fall,day,manhattan,854.6943580630831
42,sunny,fall,night,manhattan,660.5712841253792
42,sunny,spring,day,manhattan,804.8138750602216
42,sunny,spring,night,manhattan,652.7121986851716
42,sunny,summer,day,manhattan,792.0338887848717
42,sunny,summer,night,manhattan,674.6485915492958
42,sunny,winter,day,manhattan,735.2491235306248
